"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 1 (100_0)"
"10/28/2022 12:10:41:333 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick"
"5","100","0","8","3","0","0","449","0","450"
"2","100","0","8","3","0","0","359","0","360"
"6","100","0","8","3","0","0","399","0","400"
"10","100","0","8","3","0","0","379","0","380"
"9","100","0","8","3","0","0","489","0","490"
"7","100","0","8","3","0","0","339","0","340"
"4","100","0","8","3","0","0","429","0","430"
"8","100","0","8","3","0","0","399","0","400"
"1","100","0","8","3","0","0","429","0","430"
"3","100","0","8","3","0","0","619","0","620"
