"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 1 (100_50)"
"10/28/2022 10:10:02:102 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"4","100","50","8","3","0","0","1000","0","83","50","1000"
"3","100","50","8","3","0","0","1000","0","71","49","1000"
"7","100","50","8","3","0","0","1000","0","66","50","1000"
"1","100","50","8","3","0","0","1000","0","79","49","1000"
"6","100","50","8","3","0","0","1000","0","65","50","1000"
"2","100","50","8","3","0","0","1000","0","55","50","1000"
"5","100","50","8","3","0","0","1000","0","68","50","1000"
"10","100","50","8","3","0","0","1000","0","73","50","1000"
"9","100","50","8","3","0","0","1000","0","76","50","1000"
"8","100","50","8","3","0","0","1000","0","69","50","1000"
