"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 5 (0)"
"10/28/2022 14:22:51:516 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"2","25","25","8","3","0","0","1000","0","166","25","1000"
"7","25","25","8","3","0","0","1000","0","87","25","1000"
"1","25","25","8","3","0","0","1000","0","82","25","1000"
"9","25","25","8","3","0","0","1000","0","88","25","1000"
"8","25","25","8","3","0","0","1000","0","128","25","1000"
"3","25","25","8","3","0","0","1000","0","135","25","1000"
"4","25","25","8","3","0","0","1000","0","71","24","1000"
"5","25","25","8","3","0","0","1000","0","70","25","1000"
"6","25","25","8","3","0","0","1000","0","79","25","1000"
"10","25","25","8","3","0","0","1000","0","150","25","1000"
