"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 6 (100_25)"
"10/29/2022 10:47:10:769 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick"
"7","100","25","8","3","0","0","1000","4","0"
"3","100","25","8","3","0","0","1000","3","0"
"6","100","25","8","3","0","0","1000","3","0"
"2","100","25","8","3","0","0","1000","3","0"
"1","100","25","8","3","0","0","1000","3","0"
"9","100","25","8","3","0","0","1000","3","0"
"10","100","25","8","3","0","0","1000","5","0"
"4","100","25","8","3","0","0","1000","4","0"
"5","100","25","8","3","0","0","1000","5","0"
"8","100","25","8","3","0","0","1000","2","0"
