"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 7 (15)"
"10/29/2022 10:49:30:613 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"1","25","25","15","3","0","0","1000","17","0","25","1000"
"6","25","25","15","3","0","0","1000","16","0","25","1000"
"2","25","25","15","3","0","0","1000","20","0","25","1000"
"5","25","25","15","3","0","0","1000","19","0","25","1000"
"3","25","25","15","3","0","0","1000","16","0","25","1000"
"8","25","25","15","3","0","0","1000","16","0","25","1000"
"9","25","25","15","3","0","0","1000","15","0","25","1000"
"10","25","25","15","3","0","0","1000","20","0","25","1000"
"7","25","25","15","3","0","0","1000","19","0","25","1000"
"4","25","25","15","3","0","0","1000","14","0","25","1000"
